group_id,user_id,role,joined_at,messages_sent_30d,messages_read_30d,replies_sent_30d,notifications_dismissed_30d,group_muted_by_user
group_001,u_001,admin,2023-06-13,2,2,0,4,1
group_001,u_002,member,2023-09-20,4,4,1,3,0
group_001,u_003,member,2023-12-27,2,3,1,6,1
group_001,u_007,member,2023-03-07,1,1,0,9,1
group_001,u_011,member,2023-06-14,0,3,0,5,1
group_001,u_013,member,2023-09-21,9,9,3,0,0
group_001,u_017,member,2023-12-01,7,7,1,1,0
group_001,u_021,admin,2023-03-08,8,8,2,1,0
group_001,u_026,member,2023-06-15,25,25,5,3,0
group_001,u_031,member,2023-09-22,0,3,0,4,0
group_001,u_036,member,2023-12-02,12,12,3,4,0
group_001,u_039,member,2023-03-09,12,12,3,6,0
group_001,u_041,member,2023-06-13,8,17,1,1,0
group_001,u_042,member,2023-09-20,5,12,1,2,0
group_001,u_051,member,2023-12-27,7,7,2,4,1
group_008,u_004,admin,2023-08-18,8,8,2,3,0
group_008,u_005,member,2023-11-25,9,9,3,4,0
group_008,u_006,member,2023-02-05,7,8,0,5,0
group_008,u_008,member,2023-05-12,14,14,3,6,0
group_008,u_012,member,2023-08-19,0,2,0,0,0
group_008,u_015,member,2023-11-26,5,6,1,1,0
group_008,u_020,member,2023-02-06,13,13,3,2,0
group_008,u_024,member,2023-05-13,3,4,0,3,0
group_008,u_028,member,2023-08-20,7,7,1,4,0
group_008,u_033,member,2023-11-27,0,5,0,5,0
group_008,u_037,member,2023-02-07,11,11,5,6,0
group_008,u_041,member,2023-08-18,11,23,2,1,0
group_008,u_042,member,2023-11-25,8,18,1,2,0
group_008,u_051,member,2023-02-05,5,5,1,4,1
group_002,u_001,member,2024-10-23,2,2,0,2,0
group_002,u_002,member,2024-01-03,7,7,2,5,0
group_002,u_003,member,2024-04-10,16,16,4,4,0
group_002,u_005,member,2024-07-17,6,6,1,0,0
group_002,u_006,member,2024-10-24,2,4,0,1,0
group_002,u_007,member,2024-01-04,3,3,0,2,0
group_002,u_008,member,2024-04-11,23,23,5,3,0
group_002,u_009,member,2024-07-18,7,8,1,1,0
group_002,u_010,member,2024-10-25,0,1,0,5,0
group_002,u_011,admin,2023-01-05,15,15,7,2,0
group_002,u_014,member,2024-04-12,6,6,1,0,0
group_002,u_017,member,2024-07-19,13,13,5,1,0
group_002,u_018,member,2024-10-26,21,21,5,2,0
group_002,u_019,member,2024-01-06,7,7,1,3,0
group_002,u_021,member,2024-04-13,9,9,2,2,0
group_002,u_022,admin,2023-07-20,9,9,3,2,0
group_002,u_025,member,2024-10-27,4,5,0,6,0
group_002,u_027,member,2024-01-07,0,1,0,0,0
group_002,u_030,member,2024-04-14,6,6,1,1,0
group_002,u_032,member,2024-07-21,15,15,3,1,0
group_002,u_035,member,2024-10-01,7,7,1,3,0
group_002,u_036,member,2024-01-08,13,13,4,3,0
group_002,u_038,member,2024-04-15,5,5,1,5,0
group_002,u_040,member,2024-07-22,0,0,0,6,0
group_002,u_049,member,2024-10-02,13,20,2,0,0
group_002,u_043,admin,2023-10-23,21,21,6,1,0
group_002,u_044,member,2024-01-03,10,22,2,2,0
group_002,u_053,admin,2023-04-10,22,22,6,3,0
group_003,u_001,member,2025-12-01,1,1,0,2,0
group_003,u_002,member,2025-03-08,18,18,4,6,0
group_003,u_006,admin,2024-06-15,19,30,12,0,0
group_003,u_010,member,2025-09-22,7,7,1,1,0
group_003,u_013,member,2025-12-02,6,6,1,2,0
group_003,u_016,member,2025-03-09,10,10,2,3,0
group_003,u_019,member,2025-06-16,12,12,2,4,0
group_003,u_023,admin,2024-09-23,21,41,5,5,0
group_003,u_026,member,2025-12-03,0,4,0,6,0
group_003,u_029,member,2025-03-10,4,7,1,0,0
group_003,u_031,member,2025-06-17,13,13,2,1,0
group_003,u_034,member,2025-09-24,3,5,0,2,0
group_003,u_037,member,2025-12-04,10,10,4,3,0
group_003,u_051,member,2025-03-11,4,5,1,4,0
group_003,u_045,admin,2024-12-01,30,49,6,1,0
group_004,u_003,member,2025-02-06,6,6,1,4,0
group_004,u_004,admin,2024-05-13,13,13,4,0,0
group_004,u_010,member,2025-08-20,8,8,2,1,0
group_004,u_014,member,2025-11-27,2,2,0,2,0
group_004,u_016,admin,2024-02-07,13,13,3,3,0
group_004,u_018,member,2025-05-14,19,19,5,4,0
group_004,u_022,member,2025-08-21,5,5,1,2,0
group_004,u_025,member,2025-11-01,13,13,3,6,0
group_004,u_028,member,2025-02-08,12,12,1,0,0
group_004,u_029,member,2025-05-15,7,11,1,1,0
group_004,u_030,member,2025-08-22,10,10,3,2,0
group_004,u_035,member,2025-11-02,14,14,4,3,0
group_004,u_040,member,2025-02-09,1,1,0,4,0
group_004,u_046,admin,2024-02-06,14,14,6,1,0
group_005,u_001,member,2026-04-11,11,11,2,0,0
group_005,u_002,member,2026-07-17,12,12,3,1,0
group_005,u_004,admin,2025-10-25,12,12,3,2,0
group_005,u_005,member,2026-01-05,11,11,3,3,0
group_005,u_007,member,2026-04-12,0,3,0,4,0
group_005,u_008,member,2026-07-17,16,16,4,5,0
