user_id,do_not_disturb_window,messages_opened_30d,messages_replied_30d,notifications_dismissed_30d,messages_reported_30d
u_001,22:00-07:00,45,8,14,2
u_002,23:00-08:00,52,11,19,4
u_003,21:30-07:30,59,14,24,1
u_004,00:00-06:30,66,17,29,3
u_005,22:30-07:00,73,20,34,0
u_006,21:00-06:00,80,23,39,2
u_007,22:00-07:00,44,6,68,2
u_008,23:30-07:30,94,29,49,1
u_009,22:00-08:30,118,41,12,0
u_010,22:30-07:30,44,7,59,0
u_011,21:30-06:30,92,28,18,1
u_012,23:00-07:00,58,13,17,4
u_013,22:00-08:00,65,16,22,1
u_014,21:30-06:30,72,19,27,3
u_015,23:30-07:30,79,22,32,0
u_016,22:00-07:00,86,25,37,2
u_017,21:00-06:30,93,28,42,4
u_018,22:30-07:30,100,31,47,1
u_019,22:00-08:00,43,6,52,3
u_020,00:00-07:00,50,9,57,0
u_021,22:00-07:00,57,12,10,2
u_022,23:00-08:00,64,15,15,4
u_023,21:30-07:30,74,18,31,1
u_024,00:00-06:30,78,21,25,3
u_025,22:30-07:00,85,24,30,0
u_026,21:00-06:00,92,27,35,2
u_027,22:00-07:00,29,4,71,2
u_028,23:30-07:30,42,5,45,1
u_029,22:00-08:30,83,22,59,1
u_030,22:30-07:30,56,11,55,0
u_031,21:30-06:30,63,14,60,2
u_032,23:00-07:00,70,17,13,4
u_033,22:00-08:00,21,3,77,3
u_034,21:30-06:30,84,23,23,3
u_035,23:30-07:30,91,26,28,0
u_036,22:00-07:00,98,29,33,2
u_037,21:00-06:30,41,32,38,4
u_038,22:30-07:30,48,7,43,1
u_039,22:00-08:00,55,10,48,3
u_040,00:00-07:00,17,2,81,4
u_041,22:00-07:00,69,16,58,2
u_042,23:00-08:00,76,19,11,4
u_043,21:30-07:30,83,22,16,1
u_044,00:00-06:30,90,25,21,3
u_045,22:30-07:00,97,28,26,0
u_046,21:00-06:00,40,31,31,2
u_047,22:00-07:00,47,6,36,4
u_048,23:30-07:30,54,9,41,1
u_049,22:00-08:30,61,12,46,3
u_050,22:30-07:30,68,15,51,0
u_051,21:30-06:30,75,18,56,2
u_052,23:00-07:00,82,21,9,4
u_053,22:00-08:00,89,24,14,1
u_054,21:30-06:30,96,27,19,3
